InteractorA,InteractorB,Correlation,t-statistic,p-value,Bonferroni-adjusted p-value
AFFX-HUMISGF3A/M97935_MA_at,AFFX-HUMISGF3A/M97935_MB_at,0.932118237018585,0.943907704483411,0,0
AFFX-HUMISGF3A/M97935_5_at,AFFX-HUMISGF3A/M97935_3_at,0.729830384254456,0.735448099519491,2.96827942669609e-07,0.00146929831621456
AFFX-HUMISGF3A/M97935_MA_at,AFFX-HUMISGF3A/M97935_3_at,0.745818257331848,0.751816384537191,1.17557521495115e-07,0.00058190973140082
AFFX-HUMRGE/M10098_5_at,AFFX-HUMRGE/M10098_M_at,0.94243711233139,0.954627641870378,0,0
AFFX-HUMRGE/M10098_M_at,AFFX-HUMRGE/M10098_3_at,0.745432198047638,0.751420940634649,1.20312050100324e-07,0.000595544647996604
AFFX-HUMGAPDH/M33197_5_at,AFFX-HSAC07/X00351_5_at,0.711886167526245,0.717096692520479,7.79447644205788e-07,0.00385826583881865
AFFX-HUMTFRR/M11507_M_at,AFFX-HUMTFRR/M11507_3_at,0.95862889289856,0.971467277706532,0,0
AFFX-HUMRGE/M10098_3_at,AFFX-M27830_5_at,0.76097571849823,0.767350198992643,4.57808582154939e-08,0.000226615248166695
AFFX-HUMTFRR/M11507_5_at,AFFX-HUMGAPDH/M33197_5_st,0.712130665779114,0.717346600741416,7.69635491337795e-07,0.00380969568212208
AFFX-HUMTFRR/M11507_M_at,AFFX-HUMGAPDH/M33197_5_st,0.676549971103668,0.681017702235972,4.28976758914956e-06,0.0212343495662903
AFFX-HUMTFRR/M11507_3_at,AFFX-HUMGAPDH/M33197_5_st,0.733892440795898,0.73960521773718,2.36049311430619e-07,0.00116844409158157
AFFX-HUMISGF3A/M97935_3_at,AB000115_at,0.676547467708588,0.68101514891786,4.29025077597345e-06,0.0212367413410686
AB000115_at,AB000895_at,0.666181564331055,0.670445730390099,6.77791323178134e-06,0.0335506704973176
AFFX-HSAC07/X00351_M_st,AB001325_at,0.738434791564941,0.744255148392957,1.81801763865508e-07,0.000899918731134264
AB000220_at,AB002314_at,0.668078720569611,0.672379657073065,6.2420012303388e-06,0.0308979060901771
AB000460_at,AB002318_at,0.724241852760315,0.729730534789804,4.04156035527237e-07,0.00200057237585982
AB000460_at,AB003102_at,0.670042455196381,0.674381676724987,5.72831780942806e-06,0.0283551731566689
AB000449_at,AB003103_at,0.701551556587219,0.706536851501695,1.31627063959527e-06,0.00651553966599661
AB003102_at,AB003177_at,0.663906097412109,0.668126440466527,7.47598312567099e-06,0.0370061164720714
AB000449_at,AB003698_at,0.725626051425934,0.731146504894696,3.74670618752404e-07,0.0018546195628244
AB003103_at,AB003698_at,0.719250857830048,0.724626005592786,5.29135856019991e-07,0.00261922248729896
AB000460_at,AB004884_at,0.666108191013336,0.670370939225863,6.7994598440535e-06,0.0336573262280648
AB000460_at,AB006190_at,0.737256586551666,0.743048908972912,1.94640858097728e-07,0.000963472247583752
AB000449_at,AF000231_at,0.705853879451752,0.710932123717339,1.06116294151803e-06,0.00525275656051427
AB000895_at,AF000231_at,0.70731794834137,0.712428087350652,9.85294567046324e-07,0.0048772081068793
AB003103_at,AF000231_at,0.766249239444733,0.772758305556785,3.24420907915624e-08,0.000160588349418234
AB006190_at,AF002700_at,0.660244166851044,0.664394623206348,8.7383377596062e-06,0.0432547719100507
AF002224_at,AF002700_at,0.660370528697968,0.664523383555612,8.69172333151091e-06,0.043024030490979
AB000449_at,AF005037_at,0.661702990531921,0.665881193946035,8.21381338744764e-06,0.0406583762678658
AB003103_at,AF005037_at,0.689675688743591,0.694410373792401,2.34077067728933e-06,0.0115868148525822
AF000231_at,AF005037_at,0.709516048431396,0.714674326111562,8.80709335238095e-07,0.00435951120942857
AB000449_at,AF005043_at,0.712447285652161,0.717670232028319,7.57097784020999e-07,0.00374763403090395
AFFX-HUMISGF3A/M97935_3_at,AF005887_at,0.669488549232483,0.673816948665479,5.86915009681555e-06,0.0290522929792369
